Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2012,376,North Melbourne,0,6,0,38,7,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,307
2012,377,North Melbourne,0,27,0,0,197,0,0,0,0,32,161,0,0,42,0,0,0,0,0,15,541
2012,378,North Melbourne,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,239
2012,379,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,380,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,401,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,402,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
2012,403,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
2012,404,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2012,405,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,406,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,407,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,408,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,409,West Melbourne (Residential),0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2012,410,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,411,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,412,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2012,413,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,124
2012,414,West Melbourne (Residential),0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
2012,415,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2012,416,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,418,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2012,419,West Melbourne (Residential),0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
2012,420,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
2012,421,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,422,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,423,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,13,0,0,52
2012,424,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,13,20,0,0,11,0,0,0,0,0,0,55
2012,425,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,426,West Melbourne (Residential),0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
2012,427,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,21,0,0,0,22,0,0,0,0,0,20,92
2012,428,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2012,429,West Melbourne (Residential),0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
2012,430,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,113
2012,431,West Melbourne (Residential),0,0,0,0,72,0,0,0,0,0,0,0,28,74,0,0,0,0,16,33,241
2012,432,West Melbourne (Residential),0,0,0,0,0,0,123,0,0,6,0,0,0,0,0,0,0,0,44,0,235
2012,433,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,434,West Melbourne (Residential),0,0,0,0,129,31,0,0,3,21,0,0,0,11,0,0,0,13,0,0,294
2012,435,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,32,0,0,90
2012,436,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,437,West Melbourne (Residential),0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2012,438,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
2012,439,West Melbourne (Residential),0,0,0,0,52,0,0,0,25,0,0,0,0,30,0,0,0,0,0,0,144
2012,440,West Melbourne (Residential),0,0,0,0,259,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,397
2012,441,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308
2012,442,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
2012,443,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391
2012,444,West Melbourne (Residential),0,0,0,0,557,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,915
2012,445,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,501,West Melbourne (Industrial),0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,225,334
2012,502,West Melbourne (Industrial),0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,98,212,421
2012,503,Kensington,0,0,0,0,0,195,0,0,0,0,0,0,74,0,0,0,0,0,0,52,437
2012,504,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
2012,505,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,121
2012,506,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2012,507,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,136
2012,508,Kensington,0,0,0,0,33,0,0,0,0,0,0,0,34,0,0,0,0,0,0,58,146
2012,509,Kensington,0,0,0,28,14,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,141
2012,510,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,511,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,512,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,68
2012,513,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2012,514,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,515,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,518,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,519,Kensington,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
2012,520,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,521,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,522,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,523,Kensington,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,47
2012,524,Kensington,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,124
2012,525,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2012,526,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,527,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,528,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,529,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,530,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,531,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,532,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,533,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,534,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,535,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,537,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,538,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,539,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,209
2012,540,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,541,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,542,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,543,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,544,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,545,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,546,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,547,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,548,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,549,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,550,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,551,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,552,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,553,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,554,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,555,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,556,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,557,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,558,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,559,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2012,560,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,561,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,562,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2012,563,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,564,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,565,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,566,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,567,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,568,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,569,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,570,Kensington,0,0,0,"2,157",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"2,209"
2012,571,Kensington,0,0,0,62,0,0,0,0,0,35,72,0,0,0,0,0,0,187,0,0,386
2012,601,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
2012,602,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,603,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2012,604,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,605,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,606,East Melbourne,22,0,0,0,0,0,0,0,76,0,51,0,0,0,0,0,0,0,0,0,201
2012,607,East Melbourne,0,0,0,0,44,0,0,701,0,40,141,0,0,20,0,0,0,18,0,0,"1,076"
2012,608,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,609,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,610,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,611,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2012,612,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2012,613,East Melbourne,10,0,0,0,43,0,0,0,0,19,55,0,0,7,0,9,0,28,0,0,172
2012,614,East Melbourne,0,0,0,0,0,0,0,0,0,0,828,0,0,0,0,0,0,0,0,0,872
2012,615,East Melbourne,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0,0,0,949
2012,616,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2012,617,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2010,926,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,618,East Melbourne,0,0,0,0,185,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,633
2012,619,East Melbourne,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2012,620,East Melbourne,0,0,0,0,0,0,0,0,0,0,549,0,0,26,0,0,0,0,0,0,715
2012,621,East Melbourne,0,0,0,0,267,0,453,0,588,26,234,0,0,367,56,0,0,0,0,0,"2,162"
2012,642,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,643,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,644,East Melbourne,0,0,0,0,574,0,0,0,59,28,264,0,0,377,0,0,0,0,0,0,"3,490"
2012,645,East Melbourne,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0,0,0,0,0,0,886
2012,646,East Melbourne,0,12,0,0,115,0,0,0,0,0,140,0,0,25,0,0,0,0,0,0,366
2012,649,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,183
2012,650,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,651,East Melbourne,0,0,0,0,0,0,0,0,0,28,"2,511",0,0,33,0,0,0,0,0,0,"2,884"
2012,652,East Melbourne,0,0,0,0,0,0,223,0,0,0,0,0,0,0,"2,757",0,0,0,0,0,"3,012"
2012,653,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,654,Melbourne (Remainder),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,655,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428
2012,656,East Melbourne,0,159,0,154,201,27,0,0,103,0,0,0,0,61,0,0,0,0,0,0,886
2012,657,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,658,East Melbourne,0,0,0,"1,417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,822"
2012,659,Melbourne (Remainder),0,0,0,"3,254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,930"
2012,660,Melbourne (Remainder),0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,778"
2012,661,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,662,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,663,Melbourne (Remainder),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2012,750,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2012,710,Melbourne (Remainder),0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,19,0,0,266
2012,720,Melbourne (Remainder),0,19,0,36,856,0,0,0,201,16,268,0,44,20,0,10,0,28,0,0,"1,787"
2012,724,Melbourne (Remainder),0,312,0,0,232,0,0,0,0,112,11,0,0,0,0,0,0,0,0,0,"1,097"
2012,728,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,729,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,145
2012,730,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
2012,731,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,732,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2012,733,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
2012,734,Southbank,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,241
2012,735,Southbank,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
2012,736,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
2012,737,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
2012,738,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836
2012,739,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308
2012,740,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
2012,741,Southbank,0,0,0,210,213,0,0,0,0,16,0,0,0,0,0,0,0,23,0,0,505
2012,742,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2012,743,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,744,Southbank,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
2012,745,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553
2012,746,Southbank,0,0,0,0,495,0,0,0,85,0,37,392,194,0,0,0,0,0,0,21,"1,567"
2012,747,Southbank,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
2012,748,Southbank,0,0,0,0,995,0,0,0,0,20,0,0,0,0,0,0,0,10,0,20,"1,419"
2012,749,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,751,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433
2012,752,Southbank,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,"1,329"
2012,753,Southbank,0,117,0,0,595,0,0,0,117,590,111,"1,481",0,75,0,0,0,62,56,0,"6,847"
2012,759,Melbourne (Remainder),0,56,0,0,628,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,"1,335"
2012,760,Melbourne (Remainder),0,249,0,0,670,94,0,0,895,26,232,128,0,52,0,18,0,12,57,13,"2,744"
2012,771,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,772,Docklands,0,0,0,0,48,170,0,0,0,0,0,0,91,0,0,0,0,0,0,0,391
2012,773,Docklands,0,13,0,0,0,0,0,0,0,34,0,0,0,9,0,35,0,0,0,0,147
2012,774,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
2012,775,Port Melbourne,0,0,0,0,0,13,0,0,0,0,0,0,107,0,0,0,0,0,0,228,500
2012,776,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,777,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,778,Port Melbourne,0,0,0,0,279,0,0,0,0,0,0,67,188,0,0,0,0,0,0,185,796
2012,779,Port Melbourne,0,0,0,0,81,68,0,0,0,0,0,0,278,0,0,0,0,0,0,0,"1,135"
2012,780,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,781,Port Melbourne,0,18,0,18,379,126,0,0,0,0,0,0,608,24,0,0,0,24,53,406,"1,811"
2012,782,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636
2012,783,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
2012,784,Port Melbourne,0,0,0,0,188,0,0,0,33,0,0,42,286,0,21,0,0,0,118,445,"1,174"
2012,785,Port Melbourne,0,0,0,0,12,25,0,0,0,0,0,0,0,0,0,0,0,0,45,0,121
2012,786,Port Melbourne,0,0,0,1,56,87,0,0,0,40,0,0,"2,127",32,0,0,0,101,0,60,"3,353"
2012,787,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,788,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,789,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,790,Port Melbourne,0,340,0,0,76,107,0,0,0,0,0,0,122,36,0,0,42,62,37,408,"1,259"
2012,791,Port Melbourne,0,0,0,0,62,33,0,0,0,0,0,0,849,0,0,0,0,0,0,16,"1,016"
2012,792,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,793,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,794,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,795,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,820
2012,801,Southbank,0,216,0,0,769,39,0,0,45,215,0,126,0,2,0,0,0,23,0,0,"2,471"
2012,802,Southbank,0,356,0,0,"3,024",108,0,0,505,232,0,0,483,334,0,0,0,130,0,0,"6,277"
2012,803,Southbank,0,0,0,"6,427",0,0,0,0,0,625,0,0,0,0,0,0,0,162,0,0,"7,879"
2012,804,Southbank,0,380,0,96,171,0,0,0,0,92,16,0,0,31,0,27,0,853,0,621,"2,987"
2012,806,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,420
2012,807,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
2012,808,Southbank,0,0,0,0,247,0,0,0,0,84,0,0,0,0,0,91,0,38,93,0,790
2012,809,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,810,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2012,811,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193
2012,812,Southbank,0,0,0,0,304,70,0,0,0,21,21,111,0,95,0,60,0,111,0,22,977
2012,813,Southbank,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325
2012,814,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,211"
2012,815,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
2012,849,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,850,Melbourne (Remainder),0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2012,851,Melbourne (Remainder),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,852,Melbourne (Remainder),0,0,0,215,0,0,0,0,0,104,0,0,0,6,0,0,0,0,0,0,339
2012,853,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,854,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,855,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263
2012,857,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,858,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2012,859,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2012,860,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,861,South Yarra,0,0,0,0,0,0,33,0,0,71,0,0,0,0,0,0,0,93,0,0,216
2012,862,South Yarra,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,70
2012,863,Melbourne (Remainder),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,864,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2012,865,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,866,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
2012,867,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,868,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2012,869,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
